OTU ID	Samp_1	Samp_2	Samp_3	Samp_4	Samp_5	Samp_6	Samp_7	Samp_8	Samp_9	Samp_10	Samp_11	Samp_12	Samp_13	Samp_14	Samp_15	Samp_16	Samp_17	Samp_18	Samp_19	Samp_20	Samp_21	Samp_22	Samp_23	Samp_24	Samp_25	Samp_26	Samp_27	Samp_28	Samp_29	Samp_30	Samp_31	Samp_32	Samp_33	Samp_34	Samp_35	Samp_36	Samp_37	Samp_38	Samp_39	Samp_40	Samp_41	Samp_42	Samp_43	Samp_44	Samp_45	Samp_46	Samp_47	Samp_48	Samp_49	Samp_50	Samp_51	Samp_52	Samp_53	Samp_54	Samp_55	Samp_56	Samp_57	Samp_58	Samp_59	Samp_60	Samp_61	Samp_62	Samp_63	Samp_64	Samp_65	Samp_66	Samp_67	Samp_68	Samp_69	Samp_70	Samp_71	Samp_72	Samp_73	Samp_74	Samp_75	Samp_76	Samp_77	Samp_78	Samp_79	Samp_80	Samp_81	Samp_82	Samp_83	Samp_84	Samp_85	Samp_86	Samp_87	Samp_88	Samp_89	Samp_90	Samp_91	Samp_92	Samp_93	Samp_94	Samp_95	Samp_96	Taxon
OTU_11	648	0	0	0	21	0	45	16	686	793	958	512	840	0	0	184	0	0	0	0	27	9	1320	0	181	0	1106	1362	964	1353	28	0	0	1289	0	0	0	0	0	0	0	0	0	1055	0	1039	874	854	0	0	0	0	0	0	32	0	48	5	0	0	0	883	731	290	875	0	350	0	0	0	0	0	0	0	0	0	0	0	6	836	919	864	1581	0	0	0	0	0	0	0	0	0	0	0	11	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; D_6__uncultured bacterium
OTU_12	172	1054	852	1035	0	0	0	0	337	299	351	158	270	12	0	91	0	675	494	502	657	12	468	0	120	0	401	311	281	545	0	0	6	334	0	289	488	394	296	0	0	0	0	610	0	213	367	399	19	0	8	0	745	792	510	0	610	0	0	0	10	305	344	366	335	0	158	0	0	0	305	381	346	211	0	0	0	0	16	517	398	475	678	0	27	32	23	561	1058	346	440	448	27	0	58	27	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; D_6__uncultured bacterium
OTU_13	621	0	0	0	10	0	44	0	679	738	961	557	762	0	0	164	0	0	0	0	0	0	1366	14	165	0	1128	1316	866	1306	0	0	0	1199	0	0	0	0	0	0	0	0	0	1123	0	958	855	848	0	0	0	0	0	0	0	0	0	0	8	0	0	802	720	257	859	0	351	0	0	0	0	0	0	0	0	0	0	0	0	816	876	918	1408	0	0	0	0	0	20	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; 
OTU_14	0	0	0	0	0	10	0	0	0	0	0	0	0	737	1002	461	1657	0	0	0	0	0	0	0	0	13	0	0	0	0	1697	678	647	0	386	0	0	0	0	0	13	16	0	0	1416	0	0	0	211	985	975	931	0	0	0	1244	0	0	0	18	0	0	0	0	0	1204	886	1604	1340	432	0	0	0	0	0	0	0	924	0	0	0	0	0	610	875	1456	249	0	0	0	0	0	0	0	0	16	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; 
OTU_15	153	1014	825	864	0	0	58	0	330	296	389	147	245	0	14	78	0	634	462	463	652	0	452	0	93	0	401	260	283	456	54	0	0	294	0	317	454	388	281	0	0	0	0	596	0	195	373	329	0	0	0	0	740	727	508	0	570	8	0	0	0	280	324	333	311	0	151	25	0	0	313	350	323	206	0	41	0	0	0	453	420	420	693	0	0	42	0	554	929	363	410	360	17	34	48	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; 
OTU_16	0	0	0	0	0	0	0	0	0	0	0	0	0	755	894	438	1683	0	0	0	0	0	0	0	0	0	0	0	0	0	1533	596	604	0	401	0	0	0	0	10	0	0	0	0	1309	0	0	0	227	891	854	892	0	0	0	1228	0	0	0	0	0	0	0	0	0	1080	770	1578	1358	379	0	0	0	0	0	0	0	870	0	0	0	0	0	603	837	1351	219	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; 
OTU_17	560	0	0	0	0	0	29	0	633	672	874	562	711	0	0	152	0	0	12	0	0	0	1170	0	137	0	1028	1177	855	1172	31	0	0	1119	0	0	0	0	0	0	0	0	0	1010	0	860	787	795	0	0	0	0	0	0	0	0	0	10	0	0	0	756	672	231	839	0	368	0	0	0	0	0	0	0	0	13	0	0	0	708	857	804	1326	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; 
OTU_18	542	0	0	0	0	7	23	0	579	603	780	476	726	0	0	158	0	0	0	0	0	0	1150	0	163	0	1033	1228	803	1147	0	0	0	1107	0	0	0	0	0	0	0	0	0	1042	0	912	770	779	0	0	0	0	0	22	0	0	0	0	0	0	0	771	627	241	769	0	343	0	0	0	0	0	29	0	0	0	0	0	0	702	840	799	1293	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; 
OTU_19	0	0	0	0	1323	833	1088	842	0	0	0	0	0	149	131	86	110	0	0	0	0	834	0	825	731	758	0	0	0	0	51	58	182	0	23	0	0	0	0	220	1072	782	929	0	36	0	0	0	55	133	61	46	0	0	0	56	0	1395	964	741	437	0	0	0	0	31	221	22	207	83	0	0	0	0	566	949	131	47	526	0	0	0	0	31	54	49	33	0	0	0	0	0	641	151	868	172	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Tenderiales; D_4__Tenderiaceae; D_5__Candidatus Tenderia; 
OTU_20	0	0	0	0	1072	444	613	568	0	0	0	0	0	670	702	385	723	0	0	0	0	333	0	540	554	366	0	0	0	0	674	654	224	0	212	0	0	0	0	112	649	336	420	0	499	0	0	0	104	668	504	334	0	0	0	663	0	610	753	400	238	0	0	0	0	353	472	592	761	355	0	0	0	0	155	198	71	560	224	0	0	0	0	102	113	191	63	0	0	0	0	0	141	70	167	51	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; D_6__uncultured gamma proteobacterium
OTU_21	0	0	0	20	0	0	0	0	0	0	0	0	0	639	846	355	1502	0	0	0	0	0	0	0	0	0	0	0	0	0	1440	590	504	0	305	0	0	0	0	0	0	0	0	0	1270	0	0	0	193	904	798	796	0	0	0	1096	0	12	11	0	0	0	0	0	0	1039	752	1380	1222	381	0	0	0	0	0	0	0	782	0	0	0	0	0	542	722	1278	252	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; D_6__uncultured bacterium
OTU_22	0	0	0	0	12	0	0	0	0	0	0	0	0	670	844	406	1511	0	0	0	0	0	0	0	21	0	0	0	0	0	1396	576	527	0	290	0	0	0	0	0	0	0	0	0	1188	0	0	0	232	849	745	830	0	0	0	1051	0	0	0	0	0	0	0	0	0	1066	781	1345	1156	361	0	0	0	0	0	0	0	786	0	0	0	0	0	573	733	1221	249	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; D_6__uncultured bacterium
OTU_23	0	0	0	0	1439	701	1022	824	0	0	0	0	0	161	143	79	97	0	0	0	0	832	0	831	720	769	0	0	0	0	65	45	172	0	34	0	0	0	0	200	1152	731	715	0	65	0	0	0	62	117	65	38	0	0	0	56	0	1330	870	770	439	0	0	0	0	25	187	24	178	82	0	0	0	0	545	947	137	55	461	0	0	0	0	45	0	54	0	14	0	0	0	0	591	147	872	231	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; D_6__uncultured bacterium
OTU_24	0	0	0	0	936	440	567	534	0	0	0	0	0	599	696	357	677	7	0	0	0	304	0	507	518	365	0	0	0	0	685	650	207	0	182	0	0	0	0	0	549	385	438	0	493	0	0	0	96	618	509	342	0	0	0	449	0	613	732	379	182	0	0	0	0	384	440	587	667	333	0	0	0	0	209	220	55	538	181	0	0	0	0	101	71	188	0	0	0	0	0	0	145	53	153	86	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; D_6__uncultured bacterium
OTU_25	0	0	0	0	1306	689	959	793	0	0	0	0	0	183	117	84	70	0	0	0	0	693	0	783	692	694	0	0	0	0	53	37	139	0	33	0	0	0	0	186	992	633	807	0	39	0	0	0	47	106	72	39	0	0	0	51	0	1232	895	723	391	0	0	0	0	32	186	19	193	57	0	0	0	0	525	856	147	49	526	0	0	0	0	43	46	70	0	0	0	0	0	0	582	172	775	186	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; 
OTU_26	0	0	0	0	1287	694	980	688	0	0	0	0	0	154	120	75	89	0	0	0	0	686	0	731	613	681	0	0	0	0	55	41	142	0	25	0	0	0	0	135	999	654	689	0	37	0	0	0	41	96	40	33	0	0	0	42	0	1198	807	667	370	0	0	0	0	26	216	21	174	69	0	0	0	0	478	863	118	55	440	0	0	0	0	37	0	65	0	0	0	0	0	0	569	147	776	212	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; 
OTU_27	0	0	0	0	866	407	485	494	0	0	0	0	0	509	626	294	616	0	7	0	0	231	0	505	441	324	0	0	0	0	616	601	193	0	157	0	0	0	0	0	499	270	363	0	418	0	0	0	86	646	397	279	0	0	0	381	0	570	626	327	173	0	0	0	0	327	382	495	633	312	0	0	0	0	147	206	52	481	187	0	0	0	0	101	102	165	0	0	0	0	0	0	164	54	136	53	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; 
OTU_28	269	6	0	0	0	0	0	0	489	443	481	274	393	0	0	101	0	0	0	0	0	0	678	0	135	0	557	475	628	842	0	0	0	614	0	0	0	0	0	0	0	0	0	766	0	490	592	669	12	0	0	0	0	0	0	7	0	0	0	0	0	596	664	623	628	9	181	0	0	0	0	0	0	0	0	0	0	0	0	769	727	688	1528	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; 
OTU_29	213	0	7	0	10	0	40	0	513	459	510	244	386	0	0	55	0	0	0	0	0	0	623	0	164	0	552	463	626	813	34	0	0	575	0	0	0	0	0	0	0	0	0	746	6	433	597	602	0	0	0	0	0	0	0	0	0	0	0	0	10	565	659	618	659	0	172	0	0	0	0	0	0	0	0	0	0	0	0	755	765	658	1418	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; 
OTU_30	232	0	0	0	0	0	0	7	471	416	456	251	369	0	0	72	0	0	0	0	0	0	583	0	100	0	523	431	661	724	0	0	0	553	0	0	0	0	0	0	0	0	0	722	0	405	538	585	0	0	0	0	0	0	0	0	0	0	0	0	0	499	595	546	590	0	189	0	0	0	0	0	16	0	0	0	0	0	0	702	719	618	1285	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_31	105	0	0	0	672	364	354	319	91	182	204	73	127	291	132	201	154	0	0	0	0	250	209	330	343	225	196	209	95	284	173	137	47	139	72	0	0	0	0	75	369	222	372	111	194	189	155	69	76	136	140	110	0	0	0	77	0	623	462	284	182	135	139	173	75	130	205	144	261	93	0	0	0	0	187	249	38	196	139	62	137	251	119	90	43	123	0	0	0	0	0	0	474	113	130	57	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_32	213	0	0	9	0	0	32	0	462	401	463	239	339	0	0	84	0	0	0	12	0	0	598	0	121	0	549	452	606	701	47	0	0	487	0	0	0	0	0	0	0	0	0	657	0	404	501	522	0	0	0	0	19	0	0	0	0	0	0	0	0	537	565	579	590	0	178	0	0	0	0	0	0	0	0	0	0	0	0	679	599	627	1175	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_33	0	664	874	787	0	0	0	0	29	28	0	0	0	0	0	0	0	502	453	493	702	0	15	0	0	0	0	56	0	15	0	0	0	18	0	507	475	453	294	0	0	0	0	26	0	35	0	0	0	0	0	0	599	1187	461	0	624	0	0	0	0	0	11	0	0	0	0	0	0	0	478	348	352	224	0	0	0	0	0	0	32	0	0	0	0	0	0	447	1035	429	462	263	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_34	0	605	854	779	0	0	0	0	31	26	0	22	0	0	0	0	0	490	402	512	772	0	30	0	0	0	14	32	0	24	0	0	0	0	0	530	478	454	296	0	0	0	0	28	0	28	0	0	0	0	0	0	599	1152	465	0	633	0	0	0	0	0	0	0	0	0	0	0	0	0	493	369	321	200	0	0	0	0	0	7	23	0	0	0	0	0	0	393	1006	396	412	229	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_35	0	512	670	657	0	0	0	0	0	0	0	0	0	0	0	0	0	324	175	569	502	0	0	0	0	0	0	0	0	7	0	0	0	0	0	481	261	554	199	0	0	0	0	0	0	0	0	0	0	0	0	0	458	423	791	0	949	0	0	0	0	0	0	0	0	0	0	0	0	0	1270	530	450	207	0	0	0	0	0	0	9	0	0	0	0	0	0	649	825	484	647	244	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_36	0	0	0	0	0	0	0	0	0	0	0	0	0	420	570	283	922	0	0	0	0	0	0	0	0	0	0	0	0	0	901	346	342	0	232	0	0	0	0	0	0	0	0	0	803	0	0	0	151	579	476	513	13	0	0	762	0	0	0	0	0	0	0	0	0	615	460	965	828	238	0	0	0	0	0	0	0	519	0	0	0	0	0	394	450	843	174	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_37	99	0	0	0	713	322	324	306	88	148	154	70	102	315	141	201	161	0	0	0	0	206	199	359	321	222	183	215	87	231	169	114	30	120	85	0	0	0	0	72	350	208	338	104	174	177	106	60	44	107	106	83	0	0	0	65	0	592	431	298	170	110	116	134	69	118	195	128	233	82	0	0	0	0	175	271	43	144	119	41	110	221	90	90	39	89	0	0	0	0	0	0	461	89	131	81	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_38	340	0	0	0	0	0	21	0	407	414	481	321	366	0	0	82	0	0	0	0	0	0	752	0	129	0	604	749	517	684	0	0	0	675	0	0	0	0	0	0	0	0	0	600	0	551	441	481	0	0	0	0	0	0	0	0	0	0	0	0	0	457	452	136	440	0	248	0	0	0	0	0	0	0	0	0	0	0	0	465	495	458	740	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_39	0	539	858	743	0	0	0	0	22	32	0	0	0	0	0	0	0	462	414	483	657	0	22	0	0	0	0	39	0	20	0	0	0	12	0	456	403	377	314	0	0	0	0	23	0	23	0	0	0	0	0	0	600	1109	462	0	584	0	0	0	0	0	13	0	0	0	0	0	0	0	410	310	293	184	0	0	0	0	0	0	25	0	0	0	0	0	0	436	976	366	425	221	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_40	0	509	651	615	0	0	0	0	0	0	0	0	0	0	0	0	0	253	165	578	517	0	0	0	0	0	0	0	0	15	0	0	0	0	0	481	224	579	219	0	0	0	0	0	0	0	0	0	0	0	0	0	409	412	676	0	779	0	0	0	0	0	0	0	0	0	0	0	0	0	1235	520	489	211	0	0	0	0	0	0	5	0	0	0	0	0	0	630	806	441	549	228	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_41	0	0	0	0	630	329	358	274	100	164	180	0	121	314	122	220	154	0	0	6	0	239	213	335	317	183	171	175	77	213	172	140	46	119	75	0	0	0	0	58	350	180	294	100	205	133	176	59	0	112	104	94	0	0	0	79	0	608	463	256	159	139	0	160	63	127	186	152	222	104	0	0	0	0	172	191	49	149	119	73	129	247	90	0	47	104	0	0	0	0	0	0	479	86	148	79	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_42	296	0	0	0	0	0	12	8	340	361	542	267	385	0	0	86	0	0	0	0	0	0	692	0	87	0	534	673	473	681	0	0	0	668	0	0	0	0	0	0	0	0	0	566	0	494	443	423	0	0	0	0	0	0	0	0	0	0	0	0	0	461	349	123	458	0	210	0	0	0	0	0	0	0	0	0	0	0	0	378	442	476	721	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; ; 
OTU_43	0	475	585	565	0	0	0	0	0	0	0	0	0	0	0	0	0	264	166	466	462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	215	570	202	0	0	0	0	0	0	0	0	0	0	0	0	0	461	423	705	0	763	0	0	0	0	0	0	0	0	0	0	0	0	0	1144	481	451	199	0	0	0	0	0	0	0	0	0	0	0	0	0	636	754	398	522	228	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Moraxellaceae; D_5__Acinetobacter; 
OTU_44	348	0	0	0	0	0	12	0	382	364	515	277	356	0	0	70	0	0	0	0	0	0	679	0	95	0	594	648	470	590	0	0	0	615	0	0	0	0	0	0	0	0	0	587	0	515	419	439	0	0	0	0	0	0	0	0	0	0	0	0	0	431	382	131	456	0	205	0	0	0	0	0	0	0	0	0	0	0	0	398	441	462	703	0	0	0	0	0	0	0	0	11	0	0	0	0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__OM182 clade; D_4__uncultured gamma proteobacterium; D_5__uncultured gamma proteobacterium; D_6__uncultured gamma proteobacterium
OTU_45	0	0	0	0	829	466	532	497	0	0	0	0	0	99	60	54	43	0	0	20	0	438	0	496	421	429	0	0	0	0	38	22	101	0	26	0	0	0	0	108	625	393	455	0	28	0	0	0	34	80	29	19	0	0	0	23	0	795	565	385	264	0	0	0	0	21	119	0	128	34	0	0	0	0	353	551	108	31	307	0	0	0	0	20	0	49	0	0	0	0	0	0	358	104	545	277	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__OM182 clade; D_4__uncultured gamma proteobacterium; D_5__uncultured gamma proteobacterium; D_6__uncultured gamma proteobacterium
